concert_name,comment_text,comment_time,like_count,user_region,source_url,collected_at
嘉年华 · 上海场,现场灯光和编曲比视频里更有层次，开场就被震撼到了。,2025-03-05 12:00:00,328,上海,local://data/raw/comments.csv,2025-04-18 10:00:00
嘉年华 · 上海场,终于等到现场，整晚的情绪一直被带着走。,2025-03-05 13:00:00,214,江苏,local://data/raw/comments.csv,2025-04-18 10:00:00
嘉年华 · 北京场,北京场的期待值拉满，希望能听到那首歌。,2025-03-06 12:00:00,192,北京,local://data/raw/comments.csv,2025-04-18 10:00:00
嘉年华 · 北京场,票价区间看得很清楚，已经选好位置了。,2025-03-06 13:00:00,74,河北,local://data/raw/comments.csv,2025-04-18 10:00:00
嘉年华 · 深圳场,副歌响起来的时候全场合唱，太感动了。,2025-03-07 12:00:00,411,广东,local://data/raw/comments.csv,2025-04-18 10:00:00
嘉年华 · 深圳场,舞台屏幕很清晰，视线体验比预期好。,2025-03-07 13:00:00,153,湖南,local://data/raw/comments.csv,2025-04-18 10:00:00
嘉年华 · 成都场,成都的氛围一直很热烈，现场应该会很精彩。,2025-03-08 12:00:00,184,四川,local://data/raw/comments.csv,2025-04-18 10:00:00
嘉年华 · 成都场,希望开售时间能早点公布。,2025-03-08 13:00:00,66,重庆,local://data/raw/comments.csv,2025-04-18 10:00:00
嘉年华 · 杭州场,听到熟悉的前奏那一刻特别感动。,2025-03-09 12:00:00,289,安徽,local://data/raw/comments.csv,2025-04-18 10:00:00
嘉年华 · 广州场,每一首歌都很有记忆点，太喜欢了。,2025-03-10 12:00:00,241,广东,local://data/raw/comments.csv,2025-04-18 10:00:00
