artist_name,concert_name,city,venue,show_time,price_text,min_price,max_price,sale_status,source_type,source_url,collected_at
薛之谦,【兰州】薛之谦“万兽之王”巡回演唱会- 兰州站,兰州市,兰州奥体中心玫瑰体育场,2026-09-05,,317.00,1717.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1069151931352,2026-08-31T18:56:52
群星,猫耳声刻2026「OST演唱会/广播剧声演盛典」,常州,新龙湖演艺中心,2026-09-11,280 / 1680,280.00,1680.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074974444703,2026-08-31T18:56:52
周传雄,2026周传雄「念念不忘·再遇见plus」巡回演唱会-上海站,上海,上海体育场,2026-09-05,380 / 1180,380.00,1180.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1070301088981,2026-08-31T18:56:52
林宥嘉,林宥嘉《超级管家》巡回演唱会 苏州站,苏州,苏州奥林匹克体育中心体育场,2026-10-17,480 / 1380,480.00,1380.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074032272501,2026-08-31T18:56:52
周兴哲（Eric）,2026周兴哲《Odyssey·Stars旅程·星空》巡回演唱会- 常州站,常州,新龙湖演艺中心,2026-09-05,480 / 1380,480.00,1380.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1072668182504,2026-08-31T18:56:52
蒲熠星,蒲熠星《银河系旅行攻略》巡回演唱会-苏州站,苏州,苏州奥林匹克体育中心体育馆,2026-09-12,580 / 1280,580.00,1280.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074452404974,2026-08-31T18:56:52
周兴哲（Eric）,2026周兴哲《Odyssey·Stars旅程·星空》巡回演唱会- 青岛站,青岛,青岛市民健身中心体育馆,2026-09-12,380 / 1280,380.00,1280.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074281465205,2026-08-31T18:56:52
蒲熠星,蒲熠星《银河系旅行攻略》巡回演唱会-成都站,成都,成都东安湖体育公园多功能体育馆,2026-09-26,580 / 1280,580.00,1280.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074506008016,2026-08-31T18:56:52
叶世荣,Beyond乐队叶世荣2026「你中有我」巡回演唱会·贵阳站,贵阳,贵阳体育馆,2026-09-26,380 / 880,380.00,880.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1076136213057,2026-08-31T18:56:52
群星,金声玉振—嘉兴之夜演唱会,嘉兴,嘉兴市体育中心体育场,2026-09-05,280 / 1780,280.00,1780.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1071114711651,2026-08-31T18:56:52
万兽之王巡回,薛之谦-万兽之王巡回演唱会-官方荧光棒,北京,演出场馆地址待定,2026-08-07,177,177.00,177.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1065385649255,2026-08-31T18:56:52
华流时代超级,华流时代超级演唱会,桂林,桂林市体育中心体育场,2026-10-02,280 / 880,280.00,880.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1076103194636,2026-08-31T18:56:52
袁一琦,袁一琦UNKNOWN（未知） 2026巡回演唱会 -上海站（十周年特别场）,上海,徐家汇体育公园.上海体育馆,2026-09-12,380 / 1680,380.00,1680.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1072023201997,2026-08-31T18:56:52
陈小春,2026 陈小春 BIGMAN人一個 巡回演唱会 - 深圳站,深圳,"深圳湾体育中心""春茧""体育馆",2026-10-06,488 / 1288,488.00,1288.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1070516430145,2026-08-31T18:56:52
小沈阳,2026小沈阳“不差面儿”巡回演唱会—包头站,包头,包头奥林匹克体育中心体育场,2026-09-19,199 / 699,199.00,699.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1072191486702,2026-08-31T18:56:52
歌临其境超级,歌临其境超级演唱会茂名站,茂名,茂名奥体中心体育场,2026-09-26,280 / 980,280.00,980.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1071357451992,2026-08-31T18:56:52
TizzyT,2026 TizzyT「流行」巡回演唱会-郑州站,郑州,郑州奥林匹克体育中心 洋河·梦之蓝体育馆,2026-09-05,380 / 1080,380.00,1080.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1071443348181,2026-08-31T18:56:52
郭富城,郭富城ICONIC世界巡回演唱会2026-郑州站,郑州,郑州奥林匹克体育中心 洋河·梦之蓝体育馆,2026-10-03,480 / 1680,480.00,1680.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1073728252686,2026-08-31T18:56:52
草蜢,澳门威尼斯人荣誉呈献：GRASSHOPPER THREE IN LOVE CONCERT 草蜢演唱会 2026 澳门站,中国澳门,威尼斯人综艺馆,2026-10-24,432 / 1332,432.00,1332.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1076055864177,2026-08-31T18:56:52
先锋音浪哈尔滨超燃,先锋音浪哈尔滨超燃演唱会,哈尔滨,哈尔滨国际会展中心体育场,2026-10-03,288 / 1566,288.00,1566.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1070530211962,2026-08-31T18:56:52
为有你·爱上德州群星,音为有你·爱上德州群星演唱会（第二季）,德州,德州天衢新区万人广场(德州工程职业学院南侧),2026-09-06,280 / 1780,280.00,1780.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1071594825760,2026-08-31T18:56:52
李荣浩,李荣浩「黑马」巡回演唱会-上海站,上海,上海体育场,2026-09-25,380 / 1280,380.00,1280.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1061482479643,2026-08-31T18:56:52
马思唯,马思唯-乐透人生 The Lottery TOUR 巡回演唱会-深圳站,深圳,深圳大运中心体育馆,2026-09-19,399 / 999,399.00,999.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1069172843352,2026-08-31T18:56:52
陈楚生,陈楚生“荒芜之境”2026巡回演唱会一苏州站,苏州,苏州奥林匹克体育中心体育场,2026-09-12,380 / 1380,380.00,1380.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1067639632018,2026-08-31T18:56:52
林志炫,林志炫ONEtake3.0「耳顺」巡回演唱会-成都站,成都,五粮液文化体育中心综合体育馆,2026-10-17,380 / 980,380.00,980.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1070174887805,2026-08-31T18:56:52
追光纪,追光纪演唱会-2026台湖演艺艺术周,北京,(通州区)台湖舞美艺术中心露天剧场-国家大剧院分址,2026-09-25,80 / 160,80.00,160.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1076500837783,2026-08-31T18:56:52
黄凯芹,黄凯芹40年来佛山演唱会,佛山,佛山国际体育文化演艺中心,2026-11-28,398 / 1668,398.00,1668.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074889491015,2026-08-31T18:56:52
一路声花超级Live,一路声花超级Live演唱会-西安站,西安,西安奥体中心体育场,2026-09-12,298 / 1796,298.00,1796.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1070428212360,2026-08-31T18:56:52
张靓颖,「澳門銀河」荣誉呈献:「追」张靓颖世界巡回演唱会-中国澳门收官站,中国澳门,银河综艺馆,2026-10-10,468 / 1368,468.00,1368.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1069683023445,2026-08-31T18:56:52
群星,深圳· 超级音雄巨星LIVE演唱会-深圳站,深圳,深圳市宝安体育中心体育场,2026-10-06,288 / 1588,288.00,1588.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1068105203236,2026-08-31T18:56:52
群星,裕贡之夜巨星演唱会-昆明站,昆明,昆明·滇池音乐广场,2026-09-04,98 / 1080,98.00,1080.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1073259621721,2026-08-31T18:56:52
潮音风暴超级,潮音风暴超级演唱会-南宁站,南宁,广西体育中心主体育场,2026-10-03,288 / 888,288.00,888.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1065147479647,2026-08-31T18:56:52
银临,银临「粼粼」演唱会收官场 北京站,北京,首都体育馆,2026-09-12,398 / 998,398.00,998.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1070298837545,2026-08-31T18:56:52
张韶涵,2026张韶涵玩家巡回演唱会-洛阳站,洛阳,洛阳市奥林匹克中心体育场,2026-10-03,300 / 1580,300.00,1580.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1065737986756,2026-08-31T18:56:52
六哲巡回,「时光·哲旅」-2026六哲巡回演唱会 佛山站,佛山,佛山岭南明珠体育馆,2026-10-17,266 / 666,266.00,666.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074495065814,2026-08-31T18:56:52
卓依婷,卓依婷“穿过日月的歌谣”巡回演唱会生日专场·泉州站,泉州,海峡体育中心体育馆,2026-10-02,480 / 1280,480.00,1280.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074125142680,2026-08-31T18:56:52
张韶涵,2026张韶涵玩家巡回演唱会-合肥站,合肥,合肥体育中心体育场,2026-09-19,399 / 1580,399.00,1580.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1064659882166,2026-08-31T18:56:52
关智斌,The Endless Adventure关智斌2026广州演唱会,广州,广州体育馆1号馆,2026-09-19,280 / 980,280.00,980.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1071675132646,2026-08-31T18:56:52
周兴哲（Eric）,周兴哲《Odyssey·Stars旅程·星空》巡回演唱会-杭州站,杭州,黄龙体育中心体育场,2026-09-26,480 / 1380,480.00,1380.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1069665690087,2026-08-31T18:56:52
白小白,白小白「漫漫人生路」个人巡回演唱会,重庆,重庆国际博览中心中央大厅,2026-09-19,280 / 8988,280.00,8988.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1072994057009,2026-08-31T18:56:52
黎明ROBBABA,黎明ROBBABA演唱会2026 - 北京站,北京,国家体育馆,2026-09-12,588 / 1688,588.00,1688.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1065356491082,2026-08-31T18:56:52
李宗盛,李宗盛2026【有歌之年】巡回演唱会-鄂尔多斯站,鄂尔多斯,鄂尔多斯市体育事业发展中心综合体育馆,2026-09-11,580 / 1580,580.00,1580.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1070145060464,2026-08-31T18:56:52
叶世荣,Beyond乐队叶世荣2026「你中有我」巡回演唱会·南昌站,南昌,南昌国际体育中心体育馆,2026-10-02,380 / 880,380.00,880.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1072982817407,2026-08-31T18:56:52
马思唯,马思唯-乐透人生 The Lottery TOUR 巡回演唱会-长沙站,长沙,湖南国际会展中心·芒果馆,2026-09-12,399 / 999,399.00,999.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1069794124499,2026-08-31T18:56:52
蓝心羽,蓝心羽2026「爱是 love is…」巡回演唱会--北京站,北京,华侨城大剧院(北京),2026-10-30,180 / 864,180.00,864.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074200364145,2026-08-31T18:56:52
刘若英,刘若英 [飞行日] 2026巡回演唱会—澳门站,中国澳门,银河综艺馆,2026-10-03,580 / 1380,580.00,1380.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1071198480804,2026-08-31T18:56:52
纪元回声巡回,Hear Yourself-纪元回声巡回演唱会包头站,包头,包头奥林匹克体育中心体育场,2026-09-26,280 / 1088,280.00,1088.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1072134979049,2026-08-31T18:56:52
泠鸢YOUSA,泠鸢yousa「羁绊环游线」2026个人演唱会——上海站,上海,回响之地·前滩馆,2026-10-03,280 / 780,280.00,780.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1076564919834,2026-08-31T18:56:52
声名大造SUPER ,“声名大造SUPER LIVE”巡回演唱会-沈阳站,沈阳,铁西体育场,2026-09-05,298 / 1436,298.00,1436.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1069443001001,2026-08-31T18:56:52
巅峰,郎酒大美徐州•巅峰演唱会,徐州,徐州市奥体中心主体育场,2026-09-27,199 / 1699,199.00,1699.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1070044976784,2026-08-31T18:56:52
我的名字叫伊莲,伊莲《我的名字叫伊莲》法国香颂天后2026演唱会,上海,久事·上海商城剧院,2026-10-31,100 / 580,100.00,580.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1077996449554,2026-08-31T18:56:52
郭峰,2026 郭峰「让世界充满爱·时代回响」演唱会-北京站,北京,北京展览馆剧场,2026-10-05,380 / 980,380.00,980.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074986548597,2026-08-31T18:56:52
声名大造SUPER ,“声名大造SUPER LIVE”巡回演唱会-天津站,天津,天津泰达足球场,2026-09-19,298 / 1796,298.00,1796.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1067406806613,2026-08-31T18:56:52
群星,Jason Derulo (杰森德鲁罗) 2026演唱会 - 北京站,北京,国家速滑馆,2026-09-04,399 / 1399,399.00,1399.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1068559621664,2026-08-31T18:56:52
宝石Gem,2026宝石Gem「原石季节」巡回演唱会一长春站,长春,长春东北亚国际博览中心-P4地上停车场,2026-09-05,280 / 880,280.00,880.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1065994270268,2026-08-31T18:56:52
当我们年轻的时候,赵传 2026《当我们年轻的时候》巡回演唱会-长沙站,长沙,湖南国际会展中心·芒果馆,2026-11-28,380 / 680,380.00,680.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1074311697040,2026-08-31T18:56:52
"刘忻, 遗忘俱乐部",刘忻&遗忘俱乐部2026「所到之处」演唱会-北京站,北京,北京LIVERSE音宇宙艺术中心,2026-09-19,280 / 680,280.00,680.00,去购票,爬虫采集-大麦,https://m.damai.cn/shows/item.html?itemId=1071162815679,2026-08-31T18:56:52
