artist_name,concert_name,city,venue,show_time,price_text,sale_status,source_type,source_url,collected_at
Cheryl Lescom,Cheryl Lescom at The New Shamrock,,The New Shamrock,1981-09-18,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
,Salzburg Festival 1984,,,1984-07-26,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
Chisholm,Chisholm at Poor David's Pub,,,1987-08-21,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
Ougenweide,Tanz auf dem Vulkan,,,1982-09-03,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
Pierce Brothers,Pierce Brothers at Schooners,,,1987-08-28,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
Merzbow,Merzbow at ZAL,,Зал ожидания,2019-05-24,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
Red October,Red October at 500 Cafe,,,1987-08-20,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
,Salzburg Festival 1981,,,1981-07-26,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
Бабушка-Пчела,"ИОНОСФЕРА №6, малая сцена",,da:da:,2014-05-30,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
,Salzburg Festival 2008,,,2008-07-26,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
,Maryland Deathfest XII,,Baltimore Sound Stage,2014-05-21,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
Dark Divinity,Dark Divinity w/ Ovus & Akashic Index,,Valhalla,2018-12-07,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
Patricia Rideout-Rosenberg,Patricia Rideout at Royal Conservatory of Music,,The Royal Conservatory of Music,1981-09-19,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
The Gracious Deviants,"Aro Valley Summer Sounds, Nov 24",,Aro Valley Hall,2018-11-24,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
Watain,"Watain 'Southern HELL Siege' NZ Tour, Wellington",,Valhalla,2019-02-26,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
Toronto Chamber Orchestra,Camerata at Leah Polsun's Theatre,,Leah Polsun's Theatre,1981-09-20,待定,待定,公开数据集,https://musicbrainz.org/doc/MusicBrainz_Database,2026-08-31
