artist_name,concert_name,city,venue,show_time,price_text,sale_status,source_type,source_url,collected_at
陈楚生荒芜之境,[苏州]陈楚生荒芜之境2026巡回演唱会,苏州,苏州奥体中心体育场,2026.09.12 19:00,,预售中,爬虫采集,https://www.piaoniu.com/activity/780632,2026-08-31
陈楚生 荒芜之境,[贵阳]陈楚生2026荒芜之境巡回演唱会,贵阳,贵阳奥林匹克体育中心体育场,2026.10.02 19:30,,预售中,爬虫采集,https://www.piaoniu.com/activity/782602,2026-08-31
张韶涵,[赣州]张韶涵2026「玩家」巡回演唱会,赣州,,2026.10.24 赣州市全民健身中心,,预售中,爬虫采集,https://www.piaoniu.com/activity/774860,2026-08-31
张杰,[赣州][代拍费]张杰2026巡回演唱会,赣州,,演出筹备中，时间待定 场馆待定,,预售中,爬虫采集,https://www.piaoniu.com/activity/765022,2026-08-31
陈小春 BIGMAN人一個,[深圳]陈小春 2026 BIGMAN人一個 巡回演唱会,深圳,华润深圳湾体育中心＂春茧＂体育馆,2026.10.06 19:00,,预售中,爬虫采集,https://www.piaoniu.com/activity/782704,2026-08-31
陈小春 BIGMAN人一个,[沈阳]陈小春2026BIGMAN人一个巡回演唱会,沈阳,辽宁体育馆,2026.09.26 -,,预售中,爬虫采集,https://www.piaoniu.com/activity/774854,2026-08-31
陈小春 BIGMAN人一個,[哈尔滨]陈小春2026 BIGMAN人一個 巡回演唱会,哈尔滨,哈尔滨会展中心亚冬馆,2026.09.13 19:00,,预售中,爬虫采集,https://www.piaoniu.com/activity/776491,2026-08-31
Ella陈嘉桦 It's Me艾拉主意,[郑州]Ella陈嘉桦2026It's Me艾拉主意巡回演唱会,郑州,郑州奥林匹克体育中心 洋河·梦之蓝体育馆,2026.11.07 19:00,,预售中,爬虫采集,https://www.piaoniu.com/activity/780334,2026-08-31
陈小春 BIGMAN人一個,[西安] 陈小春2026 BIGMAN人一個 巡回演唱会,西安,西安奥体中心体育馆,2026.10.31 19:00,,预售中,爬虫采集,https://www.piaoniu.com/activity/782939,2026-08-31
ELLA陈嘉桦It'sMe艾拉主意,[乌鲁木齐]ELLA陈嘉桦It'sMe艾拉主意巡回演唱会,乌鲁木齐,乌鲁木齐奥体中心体育馆,2026.10.24 21:00,,预售中,爬虫采集,https://www.piaoniu.com/activity/784206,2026-08-31
ELLA陈嘉桦It'sMe艾拉主意,[东莞]ELLA陈嘉桦It'sMe艾拉主意巡回演唱会,东莞,东莞银行篮球中心(原东莞篮球中心),2026.09.26 -,,预售中,爬虫采集,https://www.piaoniu.com/activity/783794,2026-08-31
