artist_name,concert_name,city,venue,show_time,price_text,sale_status,source_type,source_url,collected_at
,青春乐团烛光音乐会动漫主题演奏三重奏钢琴&小提琴&大提琴,北京,青春无限音乐厅(北京朝阳店),2025-11-22 16:00,298,待定,爬虫采集,https://www.showstart.com/event/283418,2026-08-31
,独家 奇妙嘿夜烛光音乐会最伟大的作品&JJ曲目梦幻联动演奏三重奏钢琴&小提琴&大提琴,北京,青春无限音乐厅(北京朝阳店),2025-11-29 20:20,298,待定,爬虫采集,https://www.showstart.com/event/284674,2026-08-31
,《恶作剧之吻》《流星花园》《想见你》青春偶像剧主题曲演唱会,北京,五棵松·爱乐汇艺术空间·都市剧场,2026-04-10 19:30,85 / 126 / 196 / 266,待定,爬虫采集,https://www.showstart.com/event/289561,2026-08-31
,「再回首」致敬经典老歌演唱会 —— 一人一首成名曲,北京,五棵松·爱乐汇艺术空间·都市剧场,2026-04-11 14:30,80 / 144 / 224 / 304,待定,爬虫采集,https://www.showstart.com/event/289770,2026-08-31
,突然好想你·我们的爱·后来 流行金曲沉浸式演唱会,北京,三里屯-爱乐汇艺术空间-时空剧场,2026-07-12 19:30,100 / 180 / 280 / 380,待定,爬虫采集,https://www.showstart.com/event/303747,2026-08-31
,“沧海一声笑”辉煌港台影视怀旧金曲演唱会,北京,三里屯-爱乐汇艺术空间-时空剧场,2026-07-17 19:30,100 / 180 / 280 / 380,待定,爬虫采集,https://www.showstart.com/event/303754,2026-08-31
,《笑傲江湖》经典武侠金曲·民乐新国潮音乐会,北京,北京世纪剧院,2026-07-25 16:00,32 / 72 / 112 / 152,待定,爬虫采集,https://www.showstart.com/event/301252,2026-08-31
,【33周年纪念】“海阔天空”纪念beyond黄家驹金曲沉浸式演唱会,北京,三里屯-爱乐汇艺术空间-时空剧场,2026-07-25 16:30,100 / 180 / 280 / 380,待定,爬虫采集,https://www.showstart.com/event/303749,2026-08-31
陈佳,《我只在乎你》--陈佳 2026 邓丽君经典金曲专场演唱会,北京,中山公园音乐堂,2026-07-26 19:30,180 / 280 / 380 / 580,待定,爬虫采集,https://www.showstart.com/event/291177,2026-08-31
,【暑期特辑】“超燃交响”——星球大战·加勒比海盗经典影视交响音乐会,北京,五棵松·爱乐汇艺术空间·都市音乐厅,2026-08-07 19:30,100 / 135 / 180 / 210 / 280 / 285 / 360 / 380 / 480,待定,爬虫采集,https://www.showstart.com/event/304542,2026-08-31
,匆匆那年・岁月回响 华语流行金曲live 演唱会,北京,三里屯-爱乐汇艺术空间-时空剧场,2026-08-13 19:30,100 / 180 / 280 / 380,待定,爬虫采集,https://www.showstart.com/event/305985,2026-08-31
,青春无限乐团LALALAND 爱乐之城-世界影视作品曲目烛光音乐会钢琴&小提琴&大提琴演奏,北京,青春无限音乐厅(北京朝阳店),2026-08-22 18:30,298,待定,爬虫采集,https://www.showstart.com/event/308129,2026-08-31
,光辉岁月·海阔天空 —— 纪念BEYOND金曲演唱会,北京,五棵松·爱乐汇艺术空间·都市剧场,2026-08-28 19:30,90 / 144 / 224 / 304,待定,爬虫采集,https://www.showstart.com/event/300288,2026-08-31
